id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2020-07-31T02:23:43;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-07-30T14:16:25;75071
2;Rhode Island bypassing SQL;2020-07-30T17:11:47;Frozen online streamline;ISSUED;CREDIT_CARD;2020-07-31T08:58:53;68011
3;lime program;2020-07-30T12:26:50;parse Horizontal Shirt;ISSUED;PAYPAL;2020-07-30T13:17:23;82892
4;Buckinghamshire Director Gloves;2020-07-30T16:57:33;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-07-30T09:32:34;33894
5;attitude-oriented;2020-07-30T19:25:41;Integration structure;CANCELLED;PAYPAL;2020-07-30T21:33:11;72584
6;Internal Licensed Steel Towels RSS;2020-07-31T02:01:51;Chips;PAID;CREDIT_CARD;2020-07-31T02:57:31;90614
7;Toys Cotton;2020-07-30T18:31:12;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-07-30T16:14:36;42722
8;Arizona Barbados Dollar;2020-07-31T03:00:54;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-07-31T00:04:22;44406
9;Generic Ethiopian Birr Assurance;2020-07-30T15:29:45;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-07-30T23:25:15;93110
10;Concrete;2020-07-31T08:13:31;paradigms system;PAID;CREDIT_CARD;2020-07-30T10:39:43;93817
