id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-07-30T10:35:27;payment unleash Jamaican Dollar;1
2;Rest;2020-07-31T05:51:57;Plains;2
3;Quality Plastic plum;2020-07-30T10:12:19;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-07-31T06:39:31;Architect SSL;4
5;zero tolerance;2020-07-31T03:35:50;user-facing CSS;5
6;ADP Ouguiya;2020-07-30T23:32:18;Garden;6
7;auxiliary;2020-07-31T07:48:18;functionalities Bedfordshire withdrawal;7
8;Data;2020-07-30T10:46:19;Viaduct hybrid;8
9;mesh;2020-07-31T09:11:58;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-07-31T07:10:52;Re-engineered withdrawal Ball;10
