id;placed_date;status;code;invoice_id;customer_id
1;2020-07-31T01:09:17;COMPLETED;Georgia calculate withdrawal;88795;1
2;2020-07-31T00:46:02;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2020-07-30T10:03:10;COMPLETED;real-time;88753;3
4;2020-07-30T18:07:19;COMPLETED;Square Regional;82542;4
5;2020-07-30T23:58:27;PENDING;maroon Decentralized Bike;98183;5
6;2020-07-30T16:22:09;COMPLETED;program;52549;6
7;2020-07-31T06:38:04;COMPLETED;target;30578;7
8;2020-07-31T04:46:10;CANCELLED;input;43284;8
9;2020-07-31T05:12:12;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2020-07-31T06:17:17;COMPLETED;National lavender;4674;10
